paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_index,trace_core_file_accession,trace_core_url,all_fofct_types
LiuS_2025_PMID40009678,4DNESQU9R2NY,Mouse visual cortex - mecp2 KO,Chromatin tracing in mouse visual cortex,visual cortex,tissue,Multicellular Tissue,visual cortex,None,None,multiplexed FISH,8,2,1,4DNFIJPO3M49,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ce90ff4f-5d1c-47b3-985d-d98bc43254dc/4DNFIJPO3M49.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot demultiplexing (csv)|FOF-CT - cell data (csv)
LiuS_2025_PMID40009678,4DNESQU9R2NY,Mouse visual cortex - mecp2 KO,Chromatin tracing in mouse visual cortex,visual cortex,tissue,Multicellular Tissue,visual cortex,None,None,multiplexed FISH,8,2,2,4DNFIQRRSY2B,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ed61f443-0c23-439f-8cd0-17c3bb0dc0f9/4DNFIQRRSY2B.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot demultiplexing (csv)|FOF-CT - cell data (csv)
LiuS_2025_PMID40009678,4DNESPE924IP,Mouse primary motor cortex - mecp2 KO,Chromatin tracing in mouse primary motor cortex,primary motor cortex,tissue,Multicellular Tissue,primary motor cortex,None,None,multiplexed FISH,8,4,1,4DNFII51PO3T,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b779907f-f729-49c6-b6af-221aefaf2ac9/4DNFII51PO3T.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot demultiplexing (csv)|FOF-CT - cell data (csv)
LiuS_2025_PMID40009678,4DNESPE924IP,Mouse primary motor cortex - mecp2 KO,Chromatin tracing in mouse primary motor cortex,primary motor cortex,tissue,Multicellular Tissue,primary motor cortex,None,None,multiplexed FISH,8,4,2,4DNFI1BAY1T9,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/60695aef-a230-41a0-96de-e6e08afea929/4DNFI1BAY1T9.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot demultiplexing (csv)|FOF-CT - cell data (csv)
LiuS_2025_PMID40009678,4DNESPE924IP,Mouse primary motor cortex - mecp2 KO,Chromatin tracing in mouse primary motor cortex,primary motor cortex,tissue,Multicellular Tissue,primary motor cortex,None,None,multiplexed FISH,8,4,3,4DNFI5967RZC,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/af264ed6-2aea-40c8-b4bf-1b7f5facc36f/4DNFI5967RZC.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot demultiplexing (csv)|FOF-CT - cell data (csv)
LiuS_2025_PMID40009678,4DNESPE924IP,Mouse primary motor cortex - mecp2 KO,Chromatin tracing in mouse primary motor cortex,primary motor cortex,tissue,Multicellular Tissue,primary motor cortex,None,None,multiplexed FISH,8,4,4,4DNFIAM4CKBZ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2e2190cb-b4f4-49fc-9536-67b010c3a3da/4DNFIAM4CKBZ.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot demultiplexing (csv)|FOF-CT - cell data (csv)
LiuS_2025_PMID40009678,4DNESMTNNB3N,Mouse primary motor cortex - Wild type,Chromatin tracing in mouse primary motor cortex,primary motor cortex,tissue,Multicellular Tissue,primary motor cortex,None,None,multiplexed FISH,7,3,1,4DNFI36ZLABD,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/88a7c285-7d36-478e-81aa-935e662ac6ef/4DNFI36ZLABD.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot demultiplexing (csv)|FOF-CT - RNA-spot (csv)|FOF-CT - cell data (csv)
LiuS_2025_PMID40009678,4DNESMTNNB3N,Mouse primary motor cortex - Wild type,Chromatin tracing in mouse primary motor cortex,primary motor cortex,tissue,Multicellular Tissue,primary motor cortex,None,None,multiplexed FISH,7,3,2,4DNFIUSNMSGO,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/93a54995-1f93-47bb-b20c-f947ccd92783/4DNFIUSNMSGO.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot demultiplexing (csv)|FOF-CT - RNA-spot (csv)|FOF-CT - cell data (csv)
LiuS_2025_PMID40009678,4DNESMTNNB3N,Mouse primary motor cortex - Wild type,Chromatin tracing in mouse primary motor cortex,primary motor cortex,tissue,Multicellular Tissue,primary motor cortex,None,None,multiplexed FISH,7,3,3,4DNFIR9FTT67,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f2fd9583-f63f-41c2-a100-52c48872c85b/4DNFIR9FTT67.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot demultiplexing (csv)|FOF-CT - RNA-spot (csv)|FOF-CT - cell data (csv)
LiuS_2025_PMID40009678,4DNESMTNNB3N,Mouse primary motor cortex - Wild type,Chromatin tracing in mouse primary motor cortex,primary motor cortex,tissue,Multicellular Tissue,primary motor cortex,None,None,multiplexed FISH,7,3,3,4DNFID46OABK,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7c153998-3e92-4dbe-8e35-7a09570e6ed3/4DNFID46OABK.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot demultiplexing (csv)|FOF-CT - RNA-spot (csv)|FOF-CT - cell data (csv)
