paper,expset_accession,condition,dataset,biosource,sample_type,tissue_source,treatment,modification,assay_target,imaging_rounds,num_bio_reps,bio_rep_index,trace_core_file_accession,trace_core_url,all_fofct_types
Tastemel_2025_PMID40060486,4DNESJ15KEBD,"Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","","","","","","multiplexed FISH",,1,1,4DNFIJGVEKRX,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b1e3ceee-d18b-480a-92e7-1797dba82814/4DNFIJGVEKRX.csv,"FOF-CT - DNA-spot/trace core (csv)"
Tastemel_2025_PMID40060486,4DNESQD7KQVS,"Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","","","","","","multiplexed FISH",,1,1,4DNFI1D6S3HM,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/09ad35d3-5c50-4ed6-8cd4-8ffbe10d072e/4DNFI1D6S3HM.csv,"FOF-CT - DNA-spot/trace core (csv)"
Tastemel_2025_PMID40060486,4DNESTLJOO1C,"Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","","","","","","multiplexed FISH",,1,1,4DNFIUX6GTJ1,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a9fcc0e7-9f5a-472d-981c-b6b4e9b5f299/4DNFIUX6GTJ1.csv,"FOF-CT - DNA-spot/trace core (csv)"
Tastemel_2025_PMID40060486,4DNESE2MH977,"Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","","","","","","multiplexed FISH",,1,1,4DNFIP1EKJ7Z,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2a0f33ed-f015-47c3-abca-163e7bdec68d/4DNFIP1EKJ7Z.csv,"FOF-CT - DNA-spot/trace core (csv)"
Tastemel_2025_PMID40060486,4DNES2LZ7D8W,"Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","","","","","","multiplexed FISH",,1,1,4DNFIH5BHP3E,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3b45b14b-2eef-404f-9909-274e99d7ff88/4DNFIH5BHP3E.csv,"FOF-CT - DNA-spot/trace core (csv)"
Tastemel_2025_PMID40060486,4DNESG53SEUU,"Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","","","","","","multiplexed FISH",,1,1,4DNFILU5QBU3,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6267d765-a284-4287-98e9-34009a2b12b5/4DNFILU5QBU3.csv,"FOF-CT - DNA-spot/trace core (csv)"
Tastemel_2025_PMID40060486,4DNESX8IACI3,"Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","","","","","","multiplexed FISH",,1,1,4DNFI613CB75,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3b51d2e5-dfcc-4173-a194-38eae9300cab/4DNFI613CB75.csv,"FOF-CT - DNA-spot/trace core (csv)"
Tastemel_2025_PMID40060486,4DNESKBC3QBS,"Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","","","","","","multiplexed FISH",,1,1,4DNFIASTFTRF,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/805525f3-2543-4e14-9839-3d94fd3e181e/4DNFIASTFTRF.csv,"FOF-CT - DNA-spot/trace core (csv)"
Tastemel_2025_PMID40060486,4DNES9946GB9,"Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","","","","","","multiplexed FISH",,1,1,4DNFIVP2CYLF,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/902c9283-3db5-472f-9dd5-e2264b8e637c/4DNFIVP2CYLF.csv,"FOF-CT - DNA-spot/trace core (csv)"
Tastemel_2025_PMID40060486,4DNES3QUSY1F,"Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","Multiplexed FISH in Sox2 tagged F123-CASTx129 with 4CBS insertions between Sox2 and SE","","","","","","multiplexed FISH",,1,1,4DNFIYDIIXZQ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a8900a85-48f2-4be1-affd-d5663e9aa97b/4DNFIYDIIXZQ.csv,"FOF-CT - DNA-spot/trace core (csv)"
