paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_index,trace_core_file_accession,trace_core_url,all_fofct_types
LiuM_2024_doi_2023.07.23.550157,4DNES7OJTW3H,Rnf2 (dTag),Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,dTAG-13 treatment (30m),None,multiplexed FISH,4,1,1,4DNFIRG8WLQ3,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/cc2e7cab-4486-4bf5-92df-7694bda1cf1e/4DNFIRG8WLQ3.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESC49H1Q2,Rnf2 (dTAG13-Neg) - Negative control,Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,dTAG-Neg treatment (30m),None,multiplexed FISH,4,2,1,4DNFIUI3V498,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/10b1d1ee-fa10-4894-a7ff-4adee60607e3/4DNFIUI3V498.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESC49H1Q2,Rnf2 (dTAG13-Neg) - Negative control,Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,dTAG-Neg treatment (30m),None,multiplexed FISH,4,2,2,4DNFIHUJ2ER3,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/701d8530-c7eb-411f-8564-e421fff2d1ee/4DNFIHUJ2ER3.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNES733YZ6E,shRnf2 (vector shRnf2 I53S),Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,None,Stable Transfection disruption for Rnf2 mouse gene,multiplexed FISH,4,2,1,4DNFIHSXQZIV,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7f3cedc9-2458-48c8-bdc8-95438d8f520f/4DNFIHSXQZIV.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNES733YZ6E,shRnf2 (vector shRnf2 I53S),Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,None,Stable Transfection disruption for Rnf2 mouse gene,multiplexed FISH,4,2,2,4DNFICOZ6XHZ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/011c6c60-ec0b-432c-8925-6423c632cb59/4DNFICOZ6XHZ.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESGUTNX66,shRnf2 (vector shRnf2 WT),Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,None,Stable Transfection disruption for Rnf2 mouse gene,multiplexed FISH,4,2,1,4DNFITZBMT6Q,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/196dec1a-72ef-478b-a714-8481470bb418/4DNFITZBMT6Q.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESGUTNX66,shRnf2 (vector shRnf2 WT),Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,None,Stable Transfection disruption for Rnf2 mouse gene,multiplexed FISH,4,2,2,4DNFIRXOU8YC,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0b72d68c-5c5a-4a61-963a-7f30355554bb/4DNFIRXOU8YC.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESUCSFR9H,shRnf2-3,Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,None,Stable Transfection disruption for Rnf2 mouse gene,multiplexed FISH,4,3,1,4DNFIYLEE3DD,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2c33387d-9691-4670-9bfa-77fd438fe8ae/4DNFIYLEE3DD.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESUCSFR9H,shRnf2-3,Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,None,Stable Transfection disruption for Rnf2 mouse gene,multiplexed FISH,4,3,2,4DNFIKRETM5X,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b5f13574-48c5-4cb7-a50d-14b09f6c70f3/4DNFIKRETM5X.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESUCSFR9H,shRnf2-3,Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,None,Stable Transfection disruption for Rnf2 mouse gene,multiplexed FISH,4,3,3,4DNFICJ1A7HO,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/02ec4884-4ae3-4801-9de6-e0a153ffca43/4DNFICJ1A7HO.csv,FOF-CT - DNA-spot/trace core (csv)
